,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.1563981413893384,0.13,0.18,0.1563913603070719,0.13,0.18,0.1563398356638643,0.13,0.18,0.8837361490931677,0.86,0.9,0.8837308681261323,0.86,0.9,0.8836907288947857,0.86,0.9,Wavelet (HHH),glrlm,HighGrayLevelRunEmphasis
wavelet-HHH_glrlm_LongRunEmphasis,0.6675113993118642,0.63,0.7,0.6675127837747625,0.63,0.7,0.6676267620695959,0.63,0.7,0.9879969990018024,0.99,0.99,0.9879970729777396,0.99,0.99,0.9880031621599036,0.99,0.99,Wavelet (HHH),glrlm,LongRunEmphasis
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.5762620532513915,0.54,0.62,0.5762638834848802,0.54,0.62,0.5763659518865348,0.54,0.62,0.982381311756779,0.98,0.99,0.9823814414870896,0.98,0.99,0.9823886750328776,0.98,0.99,Wavelet (HHH),glrlm,LongRunHighGrayLevelEmphasis
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.717509660529119,0.68,0.75,0.7175096944110704,0.68,0.75,0.7175132228173042,0.68,0.75,0.9904886645087696,0.99,0.99,0.9904886660835792,0.99,0.99,0.9904888300806663,0.99,0.99,Wavelet (HHH),glrlm,LongRunLowGrayLevelEmphasis
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.2441497193142269,0.21,0.28,0.2441579479965178,0.21,0.28,0.2442669772731643,0.21,0.28,0.9297927671435418,0.92,0.94,0.9297956778139372,0.92,0.94,0.9298342271321148,0.92,0.94,Wavelet (HHH),glrlm,LowGrayLevelRunEmphasis
wavelet-HHH_glrlm_RunEntropy,0.4941462752988267,0.45,0.54,0.4942120152452492,0.45,0.54,0.4968594287878456,0.46,0.54,0.9756401158608912,0.97,0.98,0.9756463655547416,0.97,0.98,0.9758967384961872,0.97,0.98,Wavelet (HHH),glrlm,RunEntropy
wavelet-HHH_glrlm_RunLengthNonUniformity,0.9871774675691314,0.99,0.99,0.9871775038829396,0.99,0.99,0.9872921415992668,0.99,0.99,0.9996832933738966,1.0,1.0,0.999683294282182,1.0,1.0,0.9996861612898462,1.0,1.0,Wavelet (HHH),glrlm,RunLengthNonUniformity
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.7407036540026527,0.71,0.77,0.740722215449111,0.71,0.77,0.7429025902267171,0.71,0.77,0.9915340502607668,0.99,0.99,0.9915348614902464,0.99,0.99,0.9916298820629914,0.99,0.99,Wavelet (HHH),glrlm,RunLengthNonUniformityNormalized
wavelet-HHH_glrlm_RunPercentage,0.8009120107344607,0.77,0.83,0.800921506170309,0.77,0.83,0.8024907619685437,0.78,0.83,0.993973692515729,0.99,0.99,0.9939740492182848,0.99,0.99,0.9940328869182298,0.99,0.99,Wavelet (HHH),glrlm,RunPercentage
wavelet-HHH_glrlm_RunVariance,0.6879871768631647,0.65,0.72,0.6879882724114277,0.65,0.72,0.6880873297120945,0.65,0.72,0.9890596621769008,0.99,0.99,0.989059717401336,0.99,0.99,0.9890647099839146,0.99,0.99,Wavelet (HHH),glrlm,RunVariance
wavelet-HHH_glrlm_ShortRunEmphasis,0.7785665367839456,0.75,0.81,0.7785785758848655,0.75,0.81,0.7803180032017867,0.75,0.81,0.9931109169844764,0.99,0.99,0.9931113947422218,0.99,0.99,0.993180271770754,0.99,0.99,Wavelet (HHH),glrlm,ShortRunEmphasis
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.2074489656421091,0.18,0.24,0.2074425757814778,0.18,0.24,0.2073740265853876,0.18,0.24,0.9147607484326102,0.9,0.93,0.9147577179488392,0.9,0.93,0.9147251970173014,0.9,0.93,Wavelet (HHH),glrlm,ShortRunHighGrayLevelEmphasis
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.2819342571508253,0.25,0.32,0.2819508085206706,0.25,0.32,0.2822175174519105,0.25,0.32,0.941513066225097,0.93,0.95,0.9415175679989312,0.93,0.95,0.9415900427406092,0.93,0.95,Wavelet (HHH),glrlm,ShortRunLowGrayLevelEmphasis
wavelet-HHH_glszm_GrayLevelNonUniformity,0.992019572187607,0.99,0.99,0.9920195727542638,0.99,0.99,0.9920224607684872,0.99,0.99,0.999803828067064,1.0,1.0,0.9998038280811026,1.0,1.0,0.999803899630066,1.0,1.0,Wavelet (HHH),glszm,GrayLevelNonUniformity
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.5506587496230158,0.51,0.59,0.5506871878884523,0.51,0.59,0.5521198508482369,0.51,0.59,0.980485780391975,0.98,0.98,0.9804879793417164,0.98,0.98,0.9805984775738747,0.98,0.98,Wavelet (HHH),glszm,GrayLevelNonUniformityNormalized
wavelet-HHH_glszm_GrayLevelVariance,0.4866184166125998,0.45,0.53,0.4866323168078987,0.45,0.53,0.4871731306529333,0.45,0.53,0.9749138436617238,0.97,0.98,0.974915204418916,0.97,0.98,0.9749680899555732,0.97,0.98,Wavelet (HHH),glszm,GrayLevelVariance
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.1584862134625926,0.14,0.19,0.1584781957563182,0.14,0.19,0.1584163125705319,0.14,0.19,0.8853437309189218,0.87,0.9,0.8853376281613693,0.87,0.9,0.8852905072025913,0.87,0.9,Wavelet (HHH),glszm,HighGrayLevelZoneEmphasis
wavelet-HHH_glszm_LargeAreaEmphasis,0.7724234723034471,0.74,0.8,0.7724273240073309,0.74,0.8,0.7729636988248372,0.74,0.8,0.9928652549241128,0.99,0.99,0.9928654101401668,0.99,0.99,0.9928870103518016,0.99,0.99,Wavelet (HHH),glszm,LargeAreaEmphasis
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.7302144981244507,0.7,0.76,0.7302190316690786,0.7,0.76,0.7307224808208288,0.7,0.76,0.9910692424951604,0.99,0.99,0.9910694461799152,0.99,0.99,0.991092050123787,0.99,0.99,Wavelet (HHH),glszm,LargeAreaHighGrayLevelEmphasis
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.7395934665031747,0.71,0.77,0.7395961967723342,0.71,0.77,0.7399142639413903,0.71,0.77,0.9914854577986464,0.99,0.99,0.991485577474524,0.99,0.99,0.9914995134644744,0.99,0.99,Wavelet (HHH),glszm,LargeAreaLowGrayLevelEmphasis
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.3132712078785309,0.28,0.35,0.3132685396107023,0.28,0.35,0.313218642474157,0.28,0.35,0.9492471738558322,0.94,0.96,0.9492465763162882,0.94,0.96,0.9492354004718768,0.94,0.96,Wavelet (HHH),glszm,LowGrayLevelZoneEmphasis
wavelet-HHH_glszm_SizeZoneNonUniformity,0.9229879850306548,0.91,0.93,0.9229880618865466,0.91,0.93,0.9230258292258362,0.91,0.93,0.9979690666921572,1.0,1.0,0.9979690688836262,1.0,1.0,0.9979701457386182,1.0,1.0,Wavelet (HHH),glszm,SizeZoneNonUniformity
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.1602569830819922,0.14,0.19,0.1608215333614413,0.14,0.19,0.1653800462973401,0.14,0.19,0.8866786283912508,0.87,0.9,0.8870988669264888,0.87,0.9,0.8904008101249316,0.87,0.91,Wavelet (HHH),glszm,SizeZoneNonUniformityNormalized
wavelet-HHH_glszm_SmallAreaEmphasis,0.1607127560811328,0.14,0.19,0.161281664743909,0.14,0.19,0.165892095176822,0.14,0.19,0.8870180942831675,0.87,0.9,0.887439494325821,0.87,0.9,0.8907618589378269,0.87,0.91,Wavelet (HHH),glszm,SmallAreaEmphasis
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.1535857713712469,0.13,0.18,0.1535940651395317,0.13,0.18,0.1536557959168247,0.13,0.18,0.8815115249482539,0.86,0.9,0.881518188440474,0.86,0.9,0.8815677655824276,0.86,0.9,Wavelet (HHH),glszm,SmallAreaHighGrayLevelEmphasis
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.321605225094443,0.29,0.36,0.3215989106411325,0.29,0.36,0.3214762271907475,0.29,0.36,0.9510686275199178,0.94,0.96,0.9510672806137812,0.94,0.96,0.9510411018447954,0.94,0.96,Wavelet (HHH),glszm,SmallAreaLowGrayLevelEmphasis
wavelet-HHH_glszm_ZoneEntropy,0.4236057770259156,0.38,0.47,0.4237535381408648,0.38,0.47,0.4282547199493786,0.39,0.47,0.9678785777796178,0.96,0.97,0.9678973861550788,0.96,0.97,0.9684644607719431,0.96,0.97,Wavelet (HHH),glszm,ZoneEntropy
wavelet-HHH_glszm_ZonePercentage,0.698105188652668,0.66,0.73,0.6981202295116643,0.66,0.73,0.6995491863249589,0.67,0.73,0.989562555486919,0.99,0.99,0.9895632925837174,0.99,0.99,0.989633180902494,0.99,0.99,Wavelet (HHH),glszm,ZonePercentage
wavelet-HHH_glszm_ZoneVariance,0.7725834909951304,0.74,0.8,0.7725873456940983,0.74,0.8,0.7731246271400627,0.74,0.8,0.9928717020985124,0.99,0.99,0.9928718573729376,0.99,0.99,0.992893485392347,0.99,0.99,Wavelet (HHH),glszm,ZoneVariance
wavelet-HHH_gldm_DependenceEntropy,0.5704206118590509,0.53,0.61,0.5705018814169194,0.53,0.61,0.5749615969401762,0.54,0.62,0.9819631962857444,0.98,0.98,0.9819690696206892,0.98,0.98,0.9822889329405609,0.98,0.99,Wavelet (HHH),gldm,DependenceEntropy
