,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHL_ngtdm_Contrast,0.4962429809645166,0.46,0.54,0.4963291927059671,0.46,0.54,0.4998363642844377,0.46,0.54,0.9758386665416904,0.97,0.98,0.9758467963073524,0.97,0.98,0.9761752581493908,0.97,0.98,Wavelet (HHL),ngtdm,Contrast
wavelet-HHL_ngtdm_Strength,0.8593709763499503,0.84,0.88,0.8593778509708403,0.84,0.88,0.861103741019209,0.84,0.88,0.9960246031526706,1.0,1.0,0.9960248283899582,1.0,1.0,0.9960812641750888,1.0,1.0,Wavelet (HHL),ngtdm,Strength
wavelet-HHH_firstorder_10Percentile,0.8536421558323019,0.83,0.87,0.8536640020858504,0.83,0.87,0.8589205157654701,0.84,0.88,0.995835681136052,1.0,1.0,0.9958364062495229,1.0,1.0,0.9960098368089024,1.0,1.0,Wavelet (HHH),firstorder,10Percentile
wavelet-HHH_firstorder_90Percentile,0.8593735988981563,0.84,0.88,0.8593940731552513,0.84,0.88,0.8645548812945615,0.85,0.88,0.9960246890771884,1.0,1.0,0.9960253598731416,1.0,1.0,0.99619345805544,1.0,1.0,Wavelet (HHH),firstorder,90Percentile
wavelet-HHH_firstorder_Energy,0.9738456452924832,0.97,0.98,0.973845932946284,0.97,0.98,0.9742852682464886,0.97,0.98,0.9993453854749536,1.0,1.0,0.9993453928631272,1.0,1.0,0.9993566718991408,1.0,1.0,Wavelet (HHH),firstorder,Energy
wavelet-HHH_firstorder_Entropy,0.3267395991730368,0.29,0.37,0.3270072671093444,0.29,0.37,0.3324259286701806,0.3,0.37,0.9521478103112472,0.94,0.96,0.9522032074495778,0.94,0.96,0.9533068240310963,0.95,0.96,Wavelet (HHH),firstorder,Entropy
wavelet-HHH_firstorder_InterquartileRange,0.8223624908122293,0.8,0.85,0.8223937100193163,0.8,0.85,0.8283625717441252,0.8,0.85,0.9947591051316924,0.99,1.0,0.9947602192498975,0.99,1.0,0.9949717320064472,0.99,1.0,Wavelet (HHH),firstorder,InterquartileRange
wavelet-HHH_firstorder_Kurtosis,0.3920735875143326,0.35,0.43,0.3922559595440669,0.35,0.43,0.397140631445009,0.36,0.44,0.963560002917664,0.96,0.97,0.9635868567868984,0.96,0.97,0.9642974802916168,0.96,0.97,Wavelet (HHH),firstorder,Kurtosis
wavelet-HHH_firstorder_Maximum,0.7212015603774586,0.69,0.75,0.7212712440762783,0.69,0.75,0.7287391148422895,0.7,0.76,0.9906594124688806,0.99,0.99,0.990662619049836,0.99,0.99,0.991002825784938,0.99,0.99,Wavelet (HHH),firstorder,Maximum
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.8497167889099884,0.83,0.87,0.8497407663986979,0.83,0.87,0.8553359431226156,0.83,0.88,0.9957048037434698,0.99,1.0,0.9957056067530748,0.99,1.0,0.9958917939791184,1.0,1.0,Wavelet (HHH),firstorder,MeanAbsoluteDeviation
wavelet-HHH_firstorder_Mean,0.0381985526887925,0.03,0.05,0.0381767294323772,0.03,0.05,0.0381412470416228,0.03,0.05,0.6195318538197432,0.55,0.68,0.6193917921957587,0.55,0.68,0.6191638595907368,0.55,0.68,Wavelet (HHH),firstorder,Mean
