,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.5828091876118062,0.54,0.62,0.5828224080610129,0.54,0.62,0.5835806297466852,0.54,0.62,0.9828403872098656,0.98,0.99,0.9828413042030728,0.98,0.99,0.9828938291041794,0.98,0.99
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.5930864502395031,0.55,0.63,0.5930860811388565,0.55,0.63,0.5930640250708642,0.55,0.63,0.9835413982298584,0.98,0.99,0.9835413734721471,0.98,0.99,0.9835398939906558,0.98,0.99
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.08637583480557753,0.07,0.1,0.08639112898344571,0.07,0.1,0.08645046381898645,0.07,0.1,0.794923161117202,0.76,0.83,0.7949547510304142,0.76,0.83,0.7950772242489799,0.76,0.83
wavelet-HHH_glszm_SizeZoneNonUniformity,0.5552128311224098,0.52,0.6,0.5552436649533707,0.52,0.6,0.5568262928901123,0.52,0.6,0.9808351718102667,0.98,0.98,0.9808375187050784,0.98,0.98,0.9809576452402784,0.98,0.98
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.26860847583671965,0.24,0.31,0.268713977976979,0.24,0.31,0.27031265814248906,0.24,0.31,0.9377239091890166,0.93,0.95,0.9377552587844205,0.93,0.95,0.9382275596949323,0.93,0.95
wavelet-HHH_glszm_SmallAreaEmphasis,0.2667500378985925,0.24,0.3,0.2668571423226605,0.24,0.3,0.2684649228609463,0.24,0.31,0.9371679634231724,0.93,0.95,0.937200195629715,0.93,0.95,0.9376812167185582,0.93,0.95
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.09897241881901256,0.08,0.12,0.09900258529268242,0.08,0.12,0.09913867128089432,0.08,0.12,0.8183007983218432,0.79,0.85,0.818351082644628,0.79,0.85,0.8185776198053778,0.79,0.85
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.08736353060773533,0.07,0.11,0.08739038575561059,0.07,0.11,0.08749594627486947,0.07,0.11,0.7969455782369664,0.76,0.83,0.7970000707558672,0.76,0.83,0.7972140143842287,0.76,0.83
wavelet-HHH_glszm_ZoneEntropy,0.4409995225328029,0.4,0.48,0.44099832092412505,0.4,0.48,0.4409594581859926,0.4,0.48,0.9700106732712453,0.96,0.97,0.9700105314774894,0.96,0.97,0.9700059451529117,0.96,0.97
wavelet-HHH_glszm_ZonePercentage,0.4936228983906736,0.45,0.54,0.49364720671020096,0.45,0.54,0.49462070911850325,0.45,0.54,0.9755903035143333,0.97,0.98,0.9755926192824977,0.97,0.98,0.975685183345616,0.97,0.98
wavelet-HHH_glszm_ZoneVariance,0.6433247026265948,0.61,0.68,0.6433289490454401,0.61,0.68,0.6436431292302873,0.61,0.68,0.9866578589729053,0.98,0.99,0.9866581025906486,0.98,0.99,0.9866761185753926,0.98,0.99
wavelet-HHH_gldm_DependenceEntropy,0.42823246434980455,0.39,0.47,0.4282297476559518,0.39,0.47,0.4281463416544932,0.39,0.47,0.9684616846417633,0.96,0.97,0.9684613457467669,0.96,0.97,0.9684509392563119,0.96,0.97
wavelet-HHH_gldm_DependenceNonUniformity,0.7487938173455688,0.72,0.78,0.7487928604244979,0.72,0.78,0.7486759310781935,0.72,0.78,0.9918839432086647,0.99,0.99,0.9918839022552595,0.99,0.99,0.9918788972609125,0.99,0.99
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.6183552896800827,0.58,0.66,0.6183531239531991,0.58,0.66,0.61820928920301,0.58,0.66,0.9851697531503278,0.98,0.99,0.9851696190693182,0.98,0.99,0.9851607121816423,0.98,0.99
wavelet-HHH_gldm_DependenceVariance,0.6120441904622937,0.57,0.65,0.6120438485983279,0.57,0.65,0.6120217369168088,0.57,0.65,0.9847751609956537,0.98,0.99,0.9847751394093484,0.98,0.99,0.9847737431629489,0.98,0.99
wavelet-HHH_gldm_GrayLevelNonUniformity,0.8707809752093317,0.85,0.89,0.8707806246651799,0.85,0.89,0.8706837833721545,0.85,0.89,0.9963936769040984,1.0,1.0,0.9963936657096396,1.0,1.0,0.996390572793978,1.0,1.0
wavelet-HHH_gldm_GrayLevelVariance,0.41559516339589947,0.38,0.46,0.41559569838942895,0.38,0.46,0.4156112977188424,0.38,0.46,0.9668400333710098,0.96,0.97,0.966840103991776,0.96,0.97,0.9668421630751023,0.96,0.97
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.08729551457349013,0.07,0.11,0.0873601356023581,0.07,0.11,0.08761446898849386,0.07,0.11,0.7968074484334804,0.76,0.83,0.7969386874835509,0.76,0.83,0.7974537510129522,0.76,0.83
wavelet-HHH_gldm_LargeDependenceEmphasis,0.5936481829695258,0.55,0.63,0.5936440084381229,0.55,0.63,0.5933940702684142,0.55,0.63,0.9835790426523208,0.98,0.99,0.9835787631489475,0.98,0.99,0.9835620218045146,0.98,0.99
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5194711956310933,0.48,0.56,0.5194710978482111,0.48,0.56,0.5194667638868854,0.48,0.56,0.9779359859518404,0.97,0.98,0.9779359774995003,0.97,0.98,0.9779356028693725,0.97,0.98
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.45097897588887303,0.41,0.49,0.4509832156446413,0.41,0.49,0.451126050311787,0.41,0.49,0.9711635885237447,0.97,0.98,0.971164068064259,0.97,0.98,0.9711802184878989,0.97,0.98
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.08898818496605086,0.07,0.11,0.08903018355717204,0.07,0.11,0.08919878197438674,0.07,0.11,0.8001959994131681,0.77,0.83,0.8002787972392219,0.77,0.83,0.8006105664441557,0.77,0.83
wavelet-HHH_gldm_SmallDependenceEmphasis,0.5069777750419674,0.47,0.55,0.5069954545374186,0.47,0.55,0.5077419553370787,0.47,0.55,0.9768306944345966,0.97,0.98,0.9768322952171058,0.97,0.98,0.9768997898639569,0.97,0.98
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.3492564200834395,0.31,0.39,0.3492603887063766,0.31,0.39,0.3493477404827839,0.31,0.39,0.9565309006742303,0.95,0.96,0.9565316267142985,0.95,0.96,0.9565476033942337,0.95,0.96
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.2730111307652815,0.24,0.31,0.2730475143682167,0.24,0.31,0.2736089398003065,0.24,0.31,0.9390132788523841,0.93,0.95,0.9390237755234484,0.93,0.95,0.9391854225223912,0.93,0.95
wavelet-HHH_ngtdm_Busyness,0.7354795912017837,0.7,0.77,0.7354787965938463,0.7,0.77,0.7353882245346136,0.7,0.77,0.9913041581964023,0.99,0.99,0.9913041229883419,0.99,0.99,0.9913001093741509,0.99,0.99
wavelet-HHH_ngtdm_Coarseness,0.9200459569097722,0.91,0.93,0.9200461215122996,0.91,0.93,0.92012378666212,0.91,0.93,0.9978849165348617,1.0,1.0,0.9978849212576061,1.0,1.0,0.997887149427802,1.0,1.0
wavelet-HHH_ngtdm_Complexity,0.2792446988150663,0.25,0.32,0.2792391009146604,0.25,0.32,0.27915020963929843,0.25,0.32,0.9407750320718783,0.93,0.95,0.9407734823598896,0.93,0.95,0.9407488662250487,0.93,0.95
wavelet-HHH_ngtdm_Contrast,0.5336971649261103,0.49,0.58,0.5336976850042966,0.49,0.58,0.5337220911735251,0.49,0.58,0.9791343654332145,0.98,0.98,0.9791344081284267,0.98,0.98,0.9791364116350261,0.98,0.98
wavelet-HHH_ngtdm_Strength,0.7262550452096227,0.69,0.76,0.726256855303782,0.69,0.76,0.7264538011840219,0.69,0.76,0.9908904120998616,0.99,0.99,0.9908904942842245,0.99,0.99,0.9908994339244487,0.99,0.99
wavelet-LLL_firstorder_10Percentile,0.9788868661510205,0.98,0.98,0.9788868984282066,0.98,0.98,0.9789482585990026,0.98,0.98,0.9994742153084956,1.0,1.0,0.9994742161292061,1.0,1.0,0.9994757762359592,1.0,1.0
wavelet-LLL_firstorder_90Percentile,0.9966388634403289,1.0,1.0,0.9966388641756893,1.0,1.0,0.9966478042200982,1.0,1.0,0.9999177513532436,1.0,1.0,0.9999177513712972,1.0,1.0,0.9999179708563446,1.0,1.0
wavelet-LLL_firstorder_Energy,0.9955223346030859,0.99,1.0,0.9955223353464234,0.99,1.0,0.9955291113282535,0.99,1.0,0.9998903094708198,1.0,1.0,0.9998903094891093,1.0,1.0,0.9998904762092987,1.0,1.0
wavelet-LLL_firstorder_Entropy,0.8872179761978513,0.87,0.9,0.8872187507314667,0.87,0.9,0.8874686340455822,0.87,0.9,0.9969091262520328,1.0,1.0,0.996909150103029,1.0,1.0,0.9969168428986022,1.0,1.0
wavelet-LLL_firstorder_InterquartileRange,0.988502491871821,0.99,0.99,0.9885024892289203,0.99,0.99,0.988493173117264,0.99,0.99,0.9997163917153536,1.0,1.0,0.9997163916494218,1.0,1.0,0.9997161592404381,1.0,1.0
wavelet-LLL_firstorder_Kurtosis,0.9718086829005792,0.97,0.98,0.9718087276285724,0.97,0.98,0.9718719479866079,0.97,0.98,0.9992929606858614,1.0,1.0,0.9992929618393667,1.0,1.0,0.999294592147211,1.0,1.0
wavelet-LLL_firstorder_Maximum,0.9444377950827394,0.94,0.95,0.9444380370770203,0.94,0.95,0.944606715882266,0.94,0.95,0.9985671539422362,1.0,1.0,0.9985671605404893,1.0,1.0,0.9985717589613813,1.0,1.0
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.9884773699729497,0.99,0.99,0.988477368325794,0.99,0.99,0.9884715749586482,0.99,0.99,0.9997157649897166,1.0,1.0,0.9997157649486234,1.0,1.0,0.9997156204148641,1.0,1.0
wavelet-LLL_firstorder_Mean,0.9959033790943387,1.0,1.0,0.9959033810893915,1.0,1.0,0.9959232666716749,1.0,1.0,0.999899681473547,1.0,1.0,0.9998996815225983,1.0,1.0,0.9999001704275579,1.0,1.0
wavelet-LLL_firstorder_Median,0.9965572608783843,1.0,1.0,0.9965572618132527,1.0,1.0,0.9965683570698682,1.0,1.0,0.9999157477692769,1.0,1.0,0.9999157477922326,1.0,1.0,0.9999160202323618,1.0,1.0
wavelet-LLL_firstorder_Minimum,0.8043962307733865,0.78,0.83,0.8044020934533732,0.78,0.83,0.8053918081843712,0.78,0.83,0.9941040312829665,0.99,1.0,0.9941042496730321,0.99,1.0,0.9941410732289998,0.99,1.0
