,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_glcm_Contrast,0.8706757994024288,0.85,0.89,0.8706836174476548,0.85,0.89,0.8728470351231014,0.85,0.89,0.9963903177722382,1.0,1.0,0.99639056749411,1.0,1.0,0.9964595036820648,1.0,1.0,Original,glcm,Contrast
original_glcm_Correlation,0.9080781827063092,0.89,0.92,0.9080793467047208,0.89,0.92,0.9085510478994624,0.89,0.92,0.9975371351780222,1.0,1.0,0.9975371694374142,1.0,1.0,0.9975510457541046,1.0,1.0,Original,glcm,Correlation
original_glcm_DifferenceAverage,0.8626123135983776,0.84,0.88,0.8626238193363536,0.84,0.88,0.8655959351907273,0.85,0.88,0.996130414024884,1.0,1.0,0.9961307882441024,1.0,1.0,0.9962271311966946,1.0,1.0,Original,glcm,DifferenceAverage
original_glcm_DifferenceEntropy,0.8594737567617037,0.84,0.88,0.8594836940405957,0.84,0.88,0.8619828451824194,0.84,0.88,0.99602797024321,1.0,1.0,0.99602829574739,1.0,1.0,0.9961099260383892,1.0,1.0,Original,glcm,DifferenceEntropy
original_glcm_DifferenceVariance,0.8884181495816251,0.87,0.9,0.8884223229692683,0.87,0.9,0.8897867960752794,0.87,0.91,0.9969460358744382,1.0,1.0,0.9969461640518038,1.0,1.0,0.9969880084518716,1.0,1.0,Original,glcm,DifferenceVariance
original_glcm_Id,0.8541697403269536,0.83,0.87,0.8541803482246643,0.83,0.87,0.8567354739855086,0.84,0.88,0.9958531824690984,1.0,1.0,0.9958535341449058,1.0,1.0,0.9959379958547284,1.0,1.0,Original,glcm,Id
original_glcm_Idm,0.8550607574568521,0.83,0.87,0.855072021710586,0.83,0.87,0.8578053326263513,0.84,0.88,0.99588269215179,1.0,1.0,0.9958830648312248,1.0,1.0,0.9959732156649242,1.0,1.0,Original,glcm,Idm
original_glcm_Idmn,0.8691130289462339,0.85,0.89,0.8691214494499443,0.85,0.89,0.871419994559301,0.85,0.89,0.996340312499192,1.0,1.0,0.9963405824054838,1.0,1.0,0.9964140691243754,1.0,1.0,Original,glcm,Idmn
original_glcm_Idn,0.8618326354863803,0.84,0.88,0.8618443418409093,0.84,0.88,0.8648486200830803,0.85,0.88,0.9961050327033284,1.0,1.0,0.9961054141171972,1.0,1.0,0.996202967087135,1.0,1.0,Original,glcm,Idn
original_glcm_Imc1,0.9447207976460356,0.94,0.95,0.944721603620633,0.94,0.95,0.945286679775314,0.94,0.95,0.9985748680834692,1.0,1.0,0.9985748900464584,1.0,1.0,0.9985902795182824,1.0,1.0,Original,glcm,Imc1
original_glcm_Imc2,0.9545516103490764,0.95,0.96,0.9545516555754582,0.95,0.96,0.9545906026064834,0.95,0.96,0.9988400715906453,1.0,1.0,0.998840072798462,1.0,1.0,0.9988411128773416,1.0,1.0,Original,glcm,Imc2
original_glcm_InverseVariance,0.7468144003411823,0.72,0.78,0.746813134938616,0.72,0.78,0.7466601331421294,0.72,0.78,0.9917990128343388,0.99,0.99,0.9917989584006782,0.99,0.99,0.9917923754261384,0.99,0.99,Original,glcm,InverseVariance
original_glcm_JointAverage,0.8315049893542686,0.81,0.85,0.8315085511793104,0.81,0.85,0.8322298457793588,0.81,0.85,0.9950819022440032,0.99,1.0,0.9950820266596084,0.99,1.0,0.995107200389526,0.99,1.0,Original,glcm,JointAverage
original_glcm_JointEnergy,0.7944701694413164,0.77,0.82,0.7944745016447907,0.77,0.82,0.7951616860335042,0.77,0.82,0.9937297952316312,0.99,0.99,0.9937299605435344,0.99,0.99,0.9937561606005656,0.99,0.99,Original,glcm,JointEnergy
original_glcm_JointEntropy,0.8641273655715835,0.84,0.88,0.8641367818675489,0.84,0.88,0.8665991342950327,0.85,0.88,0.9961796071156502,1.0,1.0,0.9961799123345486,1.0,1.0,0.9962595055172848,1.0,1.0,Original,glcm,JointEntropy
original_glcm_MCC,0.6801486534306248,0.64,0.72,0.6802077410368362,0.64,0.72,0.6853990342276606,0.65,0.72,0.9886601447434784,0.99,0.99,0.9886631895697504,0.99,0.99,0.988928723484458,0.99,0.99,Original,glcm,MCC
original_glcm_MaximumProbability,0.783992560440656,0.76,0.81,0.7840004752538351,0.76,0.81,0.78518004892911,0.76,0.81,0.993324801422102,0.99,0.99,0.9933251113147248,0.99,0.99,0.9933712280574288,0.99,0.99,Original,glcm,MaximumProbability
original_glcm_SumAverage,0.8315049893542685,0.81,0.85,0.8315085511793104,0.81,0.85,0.8322298457793588,0.81,0.85,0.9950819022440032,0.99,1.0,0.9950820266596084,0.99,1.0,0.995107200389526,0.99,1.0,Original,glcm,SumAverage
original_glcm_SumEntropy,0.8715047393368346,0.85,0.89,0.8715119353755608,0.85,0.89,0.8735176165901978,0.86,0.89,0.9964167712945328,1.0,1.0,0.996417000723738,1.0,1.0,0.9964808040189076,1.0,1.0,Original,glcm,SumEntropy
original_glcm_SumSquares,0.9458430834070898,0.94,0.95,0.945843889034408,0.94,0.95,0.946421118555272,0.94,0.95,0.9986054152952594,1.0,1.0,0.9986054371980584,1.0,1.0,0.9986211211486627,1.0,1.0,Original,glcm,SumSquares
original_glrlm_GrayLevelNonUniformity,0.9250133021540092,0.91,0.94,0.9250135650303613,0.91,0.94,0.9251465374816712,0.91,0.94,0.9980266934769236,1.0,1.0,0.9980267009406532,1.0,1.0,0.9980304758380552,1.0,1.0,Original,glrlm,GrayLevelNonUniformity
original_glrlm_GrayLevelNonUniformityNormalized,0.8636452420142605,0.84,0.88,0.8636535750066313,0.84,0.88,0.8658229951081893,0.85,0.88,0.9961639709656052,1.0,1.0,0.9961642413638984,1.0,1.0,0.9962344650500542,1.0,1.0,Original,glrlm,GrayLevelNonUniformityNormalized
original_glrlm_GrayLevelVariance,0.9300081575144248,0.92,0.94,0.9300090746896584,0.92,0.94,0.93050900484073,0.92,0.94,0.9981677684652522,1.0,1.0,0.9981677942344924,1.0,1.0,0.9981818330647012,1.0,1.0,Original,glrlm,GrayLevelVariance
original_glrlm_HighGrayLevelRunEmphasis,0.8173943194425218,0.79,0.84,0.8173983244558838,0.79,0.84,0.8181340197777283,0.79,0.84,0.994580754038135,0.99,1.0,0.9945808986603204,0.99,1.0,0.9946074415230508,0.99,1.0,Original,glrlm,HighGrayLevelRunEmphasis
original_glrlm_LongRunEmphasis,0.6326585291808224,0.6,0.67,0.6326574261729746,0.6,0.67,0.6325795494539622,0.6,0.67,0.9860360105389062,0.98,0.99,0.986035945189403,0.98,0.99,0.9860313307016948,0.98,0.99,Original,glrlm,LongRunEmphasis
