,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
RelativeVolume_At_AbsolutemGy_1300.00,0.9959702425547369,1.0,1.0,0.9959702430979664,1.0,1.0,0.9959757478413874,1.0,1.0,0.9999013252963381,1.0,1.0,0.9999013253096927,1.0,1.0,0.9999014606329504,1.0,1.0
RelativeVolume_At_AbsolutemGy_1400.00,0.9947846832071631,0.99,1.0,0.9947846846133914,0.99,1.0,0.9947956820874472,0.99,1.0,0.9998721466188226,1.0,1.0,0.9998721466534726,1.0,1.0,0.9998724176321795,1.0,1.0
RelativeVolume_At_AbsolutemGy_1500.00,0.9934227247859282,0.99,0.99,0.9934227275754283,0.99,0.99,0.9934400020903095,0.99,0.99,0.9998385426048046,1.0,1.0,0.9998385426737229,1.0,1.0,0.9998389694558288,1.0,1.0
RelativeVolume_At_AbsolutemGy_1600.00,0.9920510644262563,0.99,0.99,0.9920510690000802,0.99,0.99,0.9920744734567415,0.99,0.99,0.999804608248008,1.0,1.0,0.9998046083613152,1.0,1.0,0.9998051881462445,1.0,1.0
RelativeVolume_At_AbsolutemGy_1700.00,0.9906297774242714,0.99,0.99,0.9906297839503124,0.99,0.99,0.9906580722958148,0.99,0.99,0.9997693494523296,1.0,1.0,0.9997693496144521,1.0,1.0,0.9997700523444109,1.0,1.0
RelativeVolume_At_AbsolutemGy_1800.00,0.9894171846926259,0.99,0.99,0.9894171936509359,0.99,0.99,0.9894515338845092,0.99,0.99,0.99973918976662,1.0,1.0,0.9997391899896981,1.0,1.0,0.9997400450942419,1.0,1.0
RelativeVolume_At_AbsolutemGy_1900.00,0.9884309298083926,0.99,0.99,0.9884309412621869,0.99,0.99,0.9884710647551194,0.99,0.99,0.9997146063473266,1.0,1.0,0.9997146066331021,1.0,1.0,0.9997156076861536,1.0,1.0
RelativeVolume_At_AbsolutemGy_2000.00,0.9875574920272624,0.99,0.99,0.9875575060366903,0.99,0.99,0.9876030969996552,0.99,0.99,0.9996927950247094,1.0,1.0,0.9996927953748521,1.0,1.0,0.999693934794465,1.0,1.0
RelativeVolume_At_AbsolutemGy_2100.00,0.9867668752325325,0.98,0.99,0.9867668919087688,0.98,0.99,0.9868178785614604,0.98,0.99,0.9996730194204957,1.0,1.0,0.9996730198379424,1.0,1.0,0.9996742960932534,1.0,1.0
RelativeVolume_At_AbsolutemGy_2200.00,0.9859546783853449,0.98,0.99,0.985954698850927,0.98,0.99,0.9860136048029443,0.98,0.99,0.9996526718280515,1.0,1.0,0.9996526723411782,1.0,1.0,0.9996541491842788,1.0,1.0
