,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_glszm_GrayLevelNonUniformity,0.951258557905866,0.94,0.96,0.9512588120669018,0.94,0.96,0.951462228486716,0.94,0.96,0.9987518306062616,1.0,1.0,0.9987518374397588,1.0,1.0,0.9987573054518324,1.0,1.0,Original,glszm,GrayLevelNonUniformity
original_glszm_GrayLevelNonUniformityNormalized,0.8269660781160606,0.8,0.85,0.8269665239318971,0.8,0.85,0.8270538898218702,0.8,0.85,0.9949225114024912,0.99,1.0,0.994922527141397,0.99,1.0,0.9949256111542932,0.99,1.0,Original,glszm,GrayLevelNonUniformityNormalized
original_glszm_GrayLevelVariance,0.8036547118855738,0.78,0.83,0.8036567822088238,0.78,0.83,0.8040043663393176,0.78,0.83,0.9940763841290527,0.99,0.99,0.9940764613888812,0.99,1.0,0.994089426979554,0.99,1.0,Original,glszm,GrayLevelVariance
original_glszm_HighGrayLevelZoneEmphasis,0.8083148893783981,0.78,0.83,0.8083142283035616,0.78,0.83,0.8081999497006831,0.78,0.83,0.9942493194029994,0.99,1.0,0.9942492950082388,0.99,1.0,0.9942450773560352,0.99,1.0,Original,glszm,HighGrayLevelZoneEmphasis
original_glszm_LargeAreaEmphasis,0.9005467403485646,0.89,0.91,0.9005472519841771,0.89,0.91,0.9007372389114447,0.89,0.91,0.9973136618790862,1.0,1.0,0.9973136771838872,1.0,1.0,0.9973193591843276,1.0,1.0,Original,glszm,LargeAreaEmphasis
original_glszm_LargeAreaHighGrayLevelEmphasis,0.8694937985192218,0.85,0.89,0.8694942296085617,0.85,0.89,0.8696120025485431,0.85,0.89,0.9963525124015165,1.0,1.0,0.9963525262077836,1.0,1.0,0.9963562975602828,1.0,1.0,Original,glszm,LargeAreaHighGrayLevelEmphasis
original_glszm_LargeAreaLowGrayLevelEmphasis,0.9046831320385486,0.89,0.92,0.9046835610537196,0.89,0.92,0.9048505407220038,0.89,0.92,0.9974368452896298,1.0,1.0,0.997436858009024,1.0,1.0,0.9974418077123418,1.0,1.0,Original,glszm,LargeAreaLowGrayLevelEmphasis
original_glszm_LowGrayLevelZoneEmphasis,0.6650248275738332,0.63,0.7,0.6650235621854914,0.63,0.7,0.6649205793510626,0.63,0.7,0.9878636550802108,0.99,0.99,0.9878635869783364,0.99,0.99,0.9878580437126504,0.99,0.99,Original,glszm,LowGrayLevelZoneEmphasis
original_glszm_SizeZoneNonUniformity,0.9459512088634864,0.94,0.95,0.9459512249750784,0.94,0.95,0.945962786373603,0.94,0.95,0.9986083546051768,1.0,1.0,0.9986083550431096,1.0,1.0,0.9986086692923574,1.0,1.0,Original,glszm,SizeZoneNonUniformity
original_glszm_SizeZoneNonUniformityNormalized,0.9044962906986044,0.89,0.92,0.9044961513680488,0.89,0.92,0.9044420521817697,0.89,0.92,0.997431304722324,1.0,1.0,0.9974313005898036,1.0,1.0,0.997429695923648,1.0,1.0,Original,glszm,SizeZoneNonUniformityNormalized
original_glszm_SmallAreaEmphasis,0.9440994425612924,0.94,0.95,0.9440994150801262,0.94,0.95,0.9440803862604952,0.94,0.95,0.9985579251472128,1.0,1.0,0.9985579243973836,1.0,1.0,0.9985574051819558,1.0,1.0,Original,glszm,SmallAreaEmphasis
original_glszm_SmallAreaHighGrayLevelEmphasis,0.8167212225851509,0.79,0.84,0.8167203579413795,0.79,0.84,0.8165624157056149,0.79,0.84,0.9945564287647414,0.99,1.0,0.99455639749207,0.99,1.0,0.9945506839162792,0.99,1.0,Original,glszm,SmallAreaHighGrayLevelEmphasis
original_glszm_SmallAreaLowGrayLevelEmphasis,0.6235110326883285,0.59,0.66,0.6235106764621912,0.59,0.66,0.6234864893270454,0.59,0.66,0.9854864085445478,0.98,0.99,0.9854863868397794,0.98,0.99,0.985484913067978,0.98,0.99,Original,glszm,SmallAreaLowGrayLevelEmphasis
original_glszm_ZoneEntropy,0.8938356362258202,0.88,0.91,0.8938357520305745,0.88,0.91,0.893875728886056,0.88,0.91,0.9971114430157972,1.0,1.0,0.99711144653071,1.0,1.0,0.9971126598576447,1.0,1.0,Original,glszm,ZoneEntropy
original_glszm_ZonePercentage,0.8729219598716778,0.85,0.89,0.8729224177630209,0.85,0.89,0.873051395749332,0.85,0.89,0.9964618851691052,1.0,1.0,0.9964618997219836,1.0,1.0,0.9964659983590154,1.0,1.0,Original,glszm,ZonePercentage
