,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
log-sigma-1-mm-3D_glszm_SmallAreaEmphasis,0.3770767298732426,0.34,0.42,0.377330308689308,0.34,0.42,0.3837349322329585,0.35,0.43,0.9612683833802608,0.95,0.97,0.961308551837718,0.95,0.97,0.9623065574307336,0.96,0.97,LoG (sigma=1mm),glszm,SmallAreaEmphasis
log-sigma-1-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.782747113834002,0.75,0.81,0.7827805656320588,0.75,0.81,0.7877536772588255,0.76,0.81,0.9932759621654728,0.99,0.99,0.9932772759209064,0.99,0.99,0.9934713822687022,0.99,0.99,LoG (sigma=1mm),glszm,SmallAreaHighGrayLevelEmphasis
log-sigma-1-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.6696322426698574,0.63,0.71,0.6696377908212673,0.63,0.71,0.6700991865786718,0.63,0.71,0.9881099761486613,0.99,0.99,0.9881102707934972,0.99,0.99,0.9881347576075752,0.99,0.99,LoG (sigma=1mm),glszm,SmallAreaLowGrayLevelEmphasis
log-sigma-1-mm-3D_glszm_ZoneEntropy,0.7451708593638666,0.71,0.78,0.7452716535495773,0.71,0.78,0.7575569469491854,0.73,0.79,0.9917281620844948,0.99,0.99,0.9917325158833062,0.99,0.99,0.9922547792209888,0.99,0.99,LoG (sigma=1mm),glszm,ZoneEntropy
log-sigma-1-mm-3D_glszm_ZonePercentage,0.8525841961869545,0.83,0.87,0.8526133943134017,0.83,0.87,0.8595939200384324,0.84,0.88,0.9958005224896496,1.0,1.0,0.9958014939538978,1.0,1.0,0.9960319058049972,1.0,1.0,LoG (sigma=1mm),glszm,ZonePercentage
log-sigma-1-mm-3D_glszm_ZoneVariance,0.8497421767110829,0.83,0.87,0.8498709613914868,0.82,0.87,0.8808237649646167,0.86,0.9,0.9957056539832724,0.99,1.0,0.9957099662340566,0.99,1.0,0.9967108327346644,1.0,1.0,LoG (sigma=1mm),glszm,ZoneVariance
log-sigma-1-mm-3D_gldm_DependenceEntropy,0.582788852836783,0.54,0.62,0.582985257654115,0.54,0.62,0.5944589165535749,0.56,0.63,0.9828389766768536,0.98,0.99,0.9828525964611824,0.98,0.99,0.9836332534487237,0.98,0.99,LoG (sigma=1mm),gldm,DependenceEntropy
log-sigma-1-mm-3D_gldm_DependenceNonUniformity,0.5141889657658402,0.47,0.56,0.5144457514859596,0.47,0.56,0.5258414826347876,0.49,0.57,0.977474917650432,0.97,0.98,0.9774975404303154,0.97,0.98,0.978480264635426,0.97,0.98,LoG (sigma=1mm),gldm,DependenceNonUniformity
log-sigma-1-mm-3D_gldm_DependenceNonUniformityNormalized,0.3549408769405569,0.32,0.4,0.3555637063390201,0.32,0.4,0.3702196189966343,0.33,0.41,0.9575552959546147,0.95,0.96,0.9576656757510862,0.95,0.96,0.9601626316905634,0.95,0.97,LoG (sigma=1mm),gldm,DependenceNonUniformityNormalized
log-sigma-1-mm-3D_gldm_DependenceVariance,0.1740626114218774,0.15,0.2,0.1741042089590994,0.15,0.2,0.1744644650503576,0.15,0.2,0.8962716576108186,0.88,0.91,0.8962985519795619,0.88,0.91,0.8965310018076121,0.88,0.91,LoG (sigma=1mm),gldm,DependenceVariance
log-sigma-1-mm-3D_gldm_GrayLevelNonUniformity,0.8550503420794946,0.83,0.87,0.8550629079067232,0.83,0.87,0.8581129244098773,0.84,0.88,0.9958823475490618,1.0,1.0,0.9958827633004664,1.0,1.0,0.9959833258106564,1.0,1.0,LoG (sigma=1mm),gldm,GrayLevelNonUniformity
