,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
AbsolutemGy_At_RelativeVolume_0.30,0.9875642842852904,0.99,0.99,0.9875642996037456,0.99,0.99,0.9876141783302246,0.99,0.99,0.9996929647848608,1.0,1.0,0.9996929651677152,1.0,1.0,0.9996942117260742,1.0,1.0,Original,DVH,DC70%[mGy]
AbsolutemGy_At_RelativeVolume_0.35,0.9878485188677404,0.99,0.99,0.9878485337498736,0.99,0.99,0.9878981394959608,0.99,0.99,0.9997000666707336,1.0,1.0,0.9997000670424744,1.0,1.0,0.9997013060832044,1.0,1.0,Original,DVH,DC65%[mGy]
AbsolutemGy_At_RelativeVolume_0.40,0.9877118270941596,0.99,0.99,0.9877118429491856,0.99,0.99,0.9877640966103608,0.99,0.99,0.999696651787382,1.0,1.0,0.9996966521835317,1.0,1.0,0.9996979577122008,1.0,1.0,Original,DVH,DC60%[mGy]
AbsolutemGy_At_RelativeVolume_0.45,0.987201534360988,0.99,0.99,0.9872015522751398,0.99,0.99,0.9872582091952572,0.99,0.99,0.9996838953211258,1.0,1.0,0.9996838957691754,1.0,1.0,0.9996853127322408,1.0,1.0,Original,DVH,DC55%[mGy]
AbsolutemGy_At_RelativeVolume_0.50,0.9867280954334924,0.98,0.99,0.9867281148843442,0.98,0.99,0.9867874091688978,0.98,0.99,0.999672048630793,1.0,1.0,0.999672049117732,1.0,1.0,0.9996735334243296,1.0,1.0,Original,DVH,DC50%[mGy]
AbsolutemGy_At_RelativeVolume_0.55,0.9863565707293616,0.98,0.99,0.9863565912874036,0.98,0.99,0.986417531342366,0.98,0.99,0.9996627443360356,1.0,1.0,0.999662744851071,1.0,1.0,0.9996642714745212,1.0,1.0,Original,DVH,DC45%[mGy]
AbsolutemGy_At_RelativeVolume_0.60,0.9858760618775466,0.98,0.99,0.9858760842101788,0.98,0.99,0.9859400015137382,0.98,0.99,0.9996507005493772,1.0,1.0,0.9996507011094032,1.0,1.0,0.9996523038344212,1.0,1.0,Original,DVH,DC40%[mGy]
AbsolutemGy_At_RelativeVolume_0.65,0.9852307083689664,0.98,0.99,0.9852307314163328,0.98,0.99,0.9852937706945444,0.98,0.99,0.9996345069619078,1.0,1.0,0.9996345075405952,1.0,1.0,0.9996360902706708,1.0,1.0,Original,DVH,DC35%[mGy]
AbsolutemGy_At_RelativeVolume_0.70,0.9840723798836808,0.98,0.99,0.9840724069137332,0.98,0.99,0.9841408827166368,0.98,0.99,0.9996053895529736,1.0,1.0,0.9996053902332196,1.0,1.0,0.9996071133982632,1.0,1.0,Original,DVH,DC30%[mGy]
AbsolutemGy_At_RelativeVolume_0.75,0.982786253828823,0.98,0.99,0.9827862830857292,0.98,0.99,0.9828547729354468,0.98,0.99,0.9995729812223132,1.0,1.0,0.9995729819604816,1.0,1.0,0.9995747098807048,1.0,1.0,Original,DVH,DC25%[mGy]
AbsolutemGy_At_RelativeVolume_0.80,0.981010446070536,0.98,0.98,0.9810104833619226,0.98,0.98,0.9810894759317454,0.98,0.98,0.9995280974963124,1.0,1.0,0.9995280984405196,1.0,1.0,0.999530098353063,1.0,1.0,Original,DVH,DC20%[mGy]
AbsolutemGy_At_RelativeVolume_0.85,0.9781159794504222,0.97,0.98,0.9781160299500246,0.97,0.98,0.9782085798959468,0.97,0.98,0.999454598944741,1.0,1.0,0.9994546002307664,1.0,1.0,0.9994569568945894,1.0,1.0,Original,DVH,DC15%[mGy]
AbsolutemGy_At_RelativeVolume_0.90,0.9732791084790754,0.97,0.98,0.9732791885318474,0.97,0.98,0.9733987524321288,0.97,0.98,0.9993308261363488,1.0,1.0,0.9993308281947796,1.0,1.0,0.9993339022233584,1.0,1.0,Original,DVH,DC10%[mGy]
AbsolutemGy_At_RelativeVolume_0.95,0.9652176984453296,0.96,0.97,0.965217835848698,0.96,0.97,0.9653741933083864,0.96,0.97,0.999121852154095,1.0,1.0,0.999121855744966,1.0,1.0,0.999125941312749,1.0,1.0,Original,DVH,DC5%[mGy]
RelativeVolume_At_AbsolutemGy_0.00,,,,,,,,,,,,,,,,,,,Original,DVH,CV0mGy[%]
RelativeVolume_At_AbsolutemGy_100.00,0.9991741865244438,1.0,1.0,0.9991741865244438,1.0,1.0,0.9991741865244438,1.0,1.0,0.999979841967157,1.0,1.0,0.999979841967157,1.0,1.0,0.999979841967157,1.0,1.0,Original,DVH,CV100mGy[%]
RelativeVolume_At_AbsolutemGy_200.00,0.9998884004271456,1.0,1.0,0.9998884004270616,1.0,1.0,0.9998883695083032,1.0,1.0,0.999997277762808,1.0,1.0,0.999997277762806,1.0,1.0,0.9999972770085256,1.0,1.0,Original,DVH,CV200mGy[%]
RelativeVolume_At_AbsolutemGy_300.00,0.9998017319159794,1.0,1.0,0.9998017319153988,1.0,1.0,0.999801611831976,1.0,1.0,0.9999951632574904,1.0,1.0,0.9999951632574764,1.0,1.0,0.9999951603274786,1.0,1.0,Original,DVH,CV300mGy[%]
RelativeVolume_At_AbsolutemGy_400.00,0.9993719115457896,1.0,1.0,0.9993719115477636,1.0,1.0,0.9993720403358884,1.0,1.0,0.9999846713765008,1.0,1.0,0.999984671376549,1.0,1.0,0.9999846745215756,1.0,1.0,Original,DVH,CV400mGy[%]
RelativeVolume_At_AbsolutemGy_500.00,0.9987494146260404,1.0,1.0,0.9987494146365684,1.0,1.0,0.9987497593589658,1.0,1.0,0.9999694606571664,1.0,1.0,0.9999694606574238,1.0,1.0,0.9999694690858384,1.0,1.0,Original,DVH,CV500mGy[%]
RelativeVolume_At_AbsolutemGy_600.00,0.998452020267776,1.0,1.0,0.9984520202976482,1.0,1.0,0.998452810279237,1.0,1.0,0.9999621872911096,1.0,1.0,0.9999621872918404,1.0,1.0,0.9999622066179988,1.0,1.0,Original,DVH,CV600mGy[%]
RelativeVolume_At_AbsolutemGy_700.00,0.9984105341138748,1.0,1.0,0.9984105341367322,1.0,1.0,0.9984111228004796,1.0,1.0,0.9999611723293552,1.0,1.0,0.9999611723299144,1.0,1.0,0.9999611867321908,1.0,1.0,Original,DVH,CV700mGy[%]
RelativeVolume_At_AbsolutemGy_800.00,0.998267714912194,1.0,1.0,0.9982677149224902,1.0,1.0,0.9982679581932328,1.0,1.0,0.9999576776179254,1.0,1.0,0.9999576776181772,1.0,1.0,0.999957683571715,1.0,1.0,Original,DVH,CV800mGy[%]
RelativeVolume_At_AbsolutemGy_900.00,0.9980274252675684,1.0,1.0,0.998027425304891,1.0,1.0,0.998028199530345,1.0,1.0,0.999951795653672,1.0,1.0,0.9999517956545858,1.0,1.0,0.9999518146110108,1.0,1.0,Original,DVH,CV900mGy[%]
RelativeVolume_At_AbsolutemGy_1000.00,0.9977969358478757,1.0,1.0,0.9977969359102534,1.0,1.0,0.9977980942335912,1.0,1.0,0.999946150988654,1.0,1.0,0.999946150990182,1.0,1.0,0.9999461793637762,1.0,1.0,Original,DVH,CV1000mGy[%]
RelativeVolume_At_AbsolutemGy_1100.00,0.9974006617691206,1.0,1.0,0.9974006618735732,1.0,1.0,0.997402305152886,1.0,1.0,0.9999364403230536,1.0,1.0,0.999936440325614,1.0,1.0,0.9999364806095892,1.0,1.0,Original,DVH,CV1100mGy[%]
