,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.41399128354083425,0.38,0.46,0.41417806068443896,0.38,0.46,0.4196621345476786,0.38,0.46,0.9666275425942109,0.96,0.97,0.9666523676978203,0.96,0.97,0.9673719763634329,0.96,0.97
wavelet-HHL_glrlm_GrayLevelVariance,0.4913822271535473,0.45,0.53,0.4914092736137264,0.45,0.53,0.4924830009311144,0.45,0.54,0.9753759063489604,0.97,0.98,0.97537850536517,0.97,0.98,0.9754814651807063,0.97,0.98
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.1653655157845806,0.14,0.19,0.16535596551906434,0.14,0.19,0.16527842670602808,0.14,0.19,0.890390536230325,0.87,0.91,0.8903837827980566,0.87,0.91,0.890328926438994,0.87,0.91
wavelet-HHL_glrlm_LongRunEmphasis,0.3005522760218047,0.27,0.34,0.30088584835304144,0.27,0.34,0.3068864715905025,0.27,0.35,0.94628760298305,0.94,0.95,0.9463681719243,0.94,0.95,0.9477898628190625,0.94,0.96
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.2793441271541058,0.25,0.32,0.27962297105779726,0.25,0.32,0.28413046216236565,0.25,0.32,0.9408025481233463,0.93,0.95,0.9408796202695493,0.93,0.95,0.9421061958088721,0.93,0.95
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.18594397288362596,0.16,0.22,0.18622030373580617,0.16,0.22,0.1888485901118223,0.16,0.22,0.9035222462168339,0.89,0.92,0.9036811705750992,0.89,0.92,0.9051722284603299,0.89,0.92
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.25001563724208864,0.22,0.29,0.25001471214834775,0.22,0.29,0.2500020688323224,0.22,0.29,0.9318234800865414,0.92,0.94,0.931823166659617,0.92,0.94,0.9318188828222075,0.92,0.94
wavelet-HHL_glrlm_RunEntropy,0.4672097005184265,0.43,0.51,0.46721071537773456,0.43,0.51,0.4672472059017535,0.43,0.51,0.9729388561968403,0.97,0.98,0.9729389635385433,0.97,0.98,0.9729428228484157,0.97,0.98
wavelet-HHL_glrlm_RunLengthNonUniformity,0.6232456314044078,0.59,0.66,0.6233415244602334,0.59,0.66,0.6299149941479213,0.59,0.67,0.9854702310997699,0.98,0.99,0.9854760777564978,0.98,0.99,0.9858727846682768,0.98,0.99
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.27748041639726073,0.25,0.31,0.27791066479664384,0.25,0.32,0.2848656068364859,0.25,0.32,0.9402837717389757,0.93,0.95,0.9404041010170338,0.93,0.95,0.9423028582887479,0.93,0.95
wavelet-HHL_glrlm_RunPercentage,0.2847530806641423,0.25,0.32,0.28516447818294505,0.25,0.32,0.2920517844053779,0.26,0.33,0.942272816318542,0.93,0.95,0.9423825444160452,0.93,0.95,0.9441772408786187,0.93,0.95
wavelet-HHL_glrlm_RunVariance,0.31582345725501754,0.28,0.36,0.31610841098066256,0.28,0.36,0.32160010328046945,0.29,0.36,0.9498144473200788,0.94,0.96,0.9498772555143689,0.94,0.96,0.9510675350137903,0.94,0.96
wavelet-HHL_glrlm_ShortRunEmphasis,0.2676195290377316,0.24,0.3,0.2680701069616806,0.24,0.3,0.2750069305483118,0.24,0.31,0.9374289479780558,0.93,0.95,0.9375635832816259,0.93,0.95,0.9395853065688646,0.93,0.95
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.1669868322929445,0.14,0.19,0.16702186774576394,0.14,0.19,0.16731037889978773,0.14,0.2,0.8915273045346156,0.87,0.91,0.8915516573668194,0.87,0.91,0.891751861513657,0.87,0.91
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.2898092755086396,0.26,0.33,0.2898094414508173,0.26,0.33,0.28981221785273886,0.26,0.33,0.943601508933949,0.93,0.95,0.9436015518406763,0.93,0.95,0.9436022697124585,0.93,0.95
wavelet-HHL_glszm_GrayLevelNonUniformity,0.4742819089165534,0.43,0.52,0.4744650364059146,0.43,0.52,0.48133945442555887,0.44,0.52,0.9736762898026757,0.97,0.98,0.9736951075006287,0.97,0.98,0.9743916585483714,0.97,0.98
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.449172174881283,0.41,0.49,0.4491729618912491,0.41,0.49,0.44919927591520165,0.41,0.49,0.970958448518377,0.97,0.98,0.9709585382140007,0.97,0.98,0.9709615370551886,0.97,0.98
wavelet-HHL_glszm_GrayLevelVariance,0.36617818529728213,0.33,0.41,0.3662131676296839,0.33,0.41,0.36704375107528275,0.33,0.41,0.9594927683517785,0.95,0.97,0.9594986260169643,0.95,0.97,0.9596373971534639,0.95,0.97
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.16434264218713657,0.14,0.19,0.16433369551873767,0.14,0.19,0.16426159257676662,0.14,0.19,0.8896633441680106,0.87,0.91,0.8896569490454804,0.87,0.91,0.8896053874369348,0.87,0.91
wavelet-HHL_glszm_LargeAreaEmphasis,0.6161897829706509,0.58,0.66,0.6162164303653505,0.58,0.66,0.6179755418620448,0.58,0.66,0.9850352334354445,0.98,0.99,0.9850368942739047,0.98,0.99,0.9851462290061758,0.98,0.99
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.5876978927843148,0.55,0.63,0.5877263796037134,0.55,0.63,0.589396006581844,0.55,0.63,0.9831767779818028,0.98,0.99,0.9831787224232564,0.98,0.99,0.9832923721419298,0.98,0.99
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5999805202867285,0.56,0.64,0.6000045131138797,0.56,0.64,0.6014836486356664,0.56,0.64,0.9839987220909802,0.98,0.99,0.9840002960581327,0.98,0.99,0.9840970968583056,0.98,0.99
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.1990165396564113,0.17,0.23,0.19904149683512173,0.17,0.23,0.1992960945993878,0.17,0.23,0.9106111247888092,0.9,0.92,0.9106238671764537,0.9,0.92,0.9107536951511863,0.9,0.92
wavelet-HHL_glszm_SizeZoneNonUniformity,0.2324822224762622,0.2,0.27,0.23289014753783752,0.2,0.27,0.23807809097491917,0.21,0.27,0.9254785660401762,0.91,0.94,0.9256359868934493,0.91,0.94,0.9275954616553646,0.92,0.94
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.14167670532434393,0.12,0.17,0.1423705180462397,0.12,0.17,0.14725066013206933,0.13,0.17,0.8712592601039533,0.85,0.89,0.8718965723526019,0.85,0.89,0.8762342421192894,0.86,0.9
wavelet-HHL_glszm_SmallAreaEmphasis,0.14542017803353366,0.12,0.17,0.14608179866331295,0.12,0.17,0.15087080564679584,0.13,0.18,0.8746363500162653,0.85,0.89,0.8752178478352937,0.85,0.89,0.8792964541172167,0.86,0.9
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.1571854270791317,0.13,0.18,0.15730485442612266,0.13,0.18,0.15822409295689766,0.14,0.19,0.884346598623007,0.86,0.9,0.8844387402317678,0.86,0.9,0.885143938570196,0.87,0.9
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.2491946933304444,0.22,0.28,0.24919386818440264,0.22,0.28,0.2491826401140081,0.22,0.28,0.9315445078868898,0.92,0.94,0.9315442266463577,0.92,0.94,0.9315403995331548,0.92,0.94
wavelet-HHL_glszm_ZoneEntropy,0.2588738938280573,0.23,0.3,0.25928346364720517,0.23,0.3,0.26529447993965916,0.23,0.3,0.9347310441110126,0.92,0.94,0.9348610954318449,0.92,0.95,0.9367275671059042,0.93,0.95
wavelet-HHL_glszm_ZonePercentage,0.405577512708852,0.37,0.45,0.40576561898175817,0.37,0.45,0.411099444372026,0.37,0.45,0.9654869059724279,0.96,0.97,0.9655128940871087,0.96,0.97,0.9662404662957104,0.96,0.97
wavelet-HHL_glszm_ZoneVariance,0.6167161375557678,0.58,0.66,0.6167425881275765,0.58,0.66,0.6184925672692398,0.58,0.66,0.9850680137208283,0.98,0.99,0.9850696595892654,0.98,0.99,0.985178250218579,0.98,0.99
wavelet-HHL_gldm_DependenceEntropy,0.5001540005400161,0.46,0.54,0.500153186770484,0.46,0.54,0.5001198039433086,0.46,0.54,0.976204789502413,0.97,0.98,0.9762047138900839,0.97,0.98,0.9762016118844254,0.97,0.98
wavelet-HHL_gldm_DependenceNonUniformity,0.3240848025430728,0.29,0.36,0.3244458269098256,0.29,0.36,0.33171000924487776,0.3,0.37,0.9515937680090264,0.94,0.96,0.9516696064834894,0.94,0.96,0.9531629353371783,0.95,0.96
